stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon,low_supply_peak,distance_from_cbd,avg_travel_time_travel,median_travel_time_travel,p90_travel_time_travel,high_congestion_travel,severe_delay,avg_travel_time_zscore_travel,route_id,avg_travel_time_cong,median_travel_time_cong,p90_travel_time_cong,high_congestion_cong,severe_congestion,avg_travel_time_zscore_cong,median_travel_time_zscore,rain_mm,is_rain,heavy_rain,moderate_rain,temperature_zscore
0001RLW,6,1,11,1,Railways,-1.290884,36.828241999999996,0,0.011900562423681621,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0001RLW,7,1,3,1,Railways,-1.290884,36.828241999999996,0,0.011900562423681621,3847.35,3883.0,5704.700000000003,0,0,-0.9065383511651587,matonwalk-7.csv,3847.35,3883.0,5704.700000000003,0,0,-0.7793413264325569,-0.5724245367841937,0.05714285714285715,1,0,1,0.41221370628727905
0100..M,6,1,1,1,K.M.,-1.167726517,36.91900849,0,0.15633640281862166,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
010044G,6,1,1,1,44 Githurai,-1.195514202,36.9026953,0,0.12475473128835907,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100A.P,6,1,1,1,A.P.,-1.178289056,36.91195965,0,0.14373806296881125,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100AAA,6,1,1,1,Sahala,-1.206232309,36.79068089,0,0.0844368326935683,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100AAE,6,1,1,1,Aga Khan Hospital Entrance,-1.26177,36.822179999999996,0,0.025113084438196195,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100ACP,6,1,1,1,PCEA,-1.184212893,36.90751523,0,0.13635484457858058,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100AEI,6,1,1,1,Nyari Police,-1.225512028,36.78804159,0,0.06750970603903456,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
0100AEL,6,1,1,1,Membley Stage,-1.160296798,36.92236662,0,0.164178026032454,4279.27,4217.5,6212.200000000002,0,0,-0.692639915248366,matonwalk-6.csv,4279.27,4217.5,6212.200000000002,0,0,-0.6910196680458476,-0.5053200085185661,0.08571428571428573,1,0,1,-0.14698901252456917
