stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon
0001RLW,6,1,11,1,Railways,-1.290884,36.828242
0001RLW,7,1,3,1,Railways,-1.290884,36.828242
0100..M,6,1,1,1,K.M.,-1.167726517,36.91900849
010044G,6,1,1,1,44 Githurai,-1.195514202,36.9026953
0100A.P,6,1,1,1,A.P.,-1.178289056,36.91195965
0100AAA,6,1,1,1,Sahala,-1.206232309,36.79068089
0100AAE,6,1,1,1,Aga Khan Hospital Entrance,-1.26177,36.82218
0100ACP,6,1,1,1,PCEA,-1.184212893,36.90751523
0100AEI,6,1,1,1,Nyari Police,-1.225512028,36.78804159
0100AEL,6,1,1,1,Membley Stage,-1.160296798,36.92236662
0100AKA,6,1,1,1,Chamoka,-1.218550569,36.77443743
0100AL2,6,1,1,1,Lane 26,-1.202838153,36.7692849
0100AMY,7,1,1,1,Kwa Nyama,-1.204494238,36.78601384
0100ANJ,6,1,1,1,Kwa Kiwanja,-1.171676248,36.91650867
0100APC,6,1,1,1,PCEA,-1.188633174,36.73722178
0100ARG,6,1,1,1,Arya Girls' Secondary School,-1.26081,36.81997
0100ARI,6,1,1,1,Kwa Daktari,-1.185328692,36.73338085
0100ASD,6,1,2,1,Ambassadors,-1.19794,36.75537
0100ASW,7,1,1,1,Car Wash,-1.204816103,36.78255916
0100AWA,6,1,1,1,Wataalam,-1.149612397,36.94740772
0100BKH,6,1,1,1,Bypass Stage Kiambu,-1.215780973,36.83506072
0100BKK,6,1,1,1,Kabuku,-1.154729247,36.67456269
0100BLD,6,1,1,1,God's Ability,-1.202671891,36.76871896
0100CAR,6,1,1,1,Kwa Machiri,-1.17373082,36.71296388
0100CBR,6,1,1,1,Cooperative Bank Ruaka,-1.20678,36.78464
0100CBR,7,1,1,1,Cooperative Bank Ruaka,-1.20678,36.78464
0100CCD,6,1,1,1,Coca Cola Depot,-1.25983,36.8176
0100CHE,6,1,1,1,Commission Of Higher Education,-1.227579,36.797994
0100CHL,6,1,2,1,Chantilly School,-1.181032,36.762044
0100CTC,6,1,2,1,Christco,-1.19626,36.75305
0100CTR,6,1,1,1,Doctor's Park,-1.261465877,36.82164699
0100DPA,6,1,4,1,Delta Petrol Station Ruaka/Border,-1.208925247,36.78782701
0100EIE,6,1,1,1,Mfereji,-1.203090316,36.77023709
0100EIL,6,1,1,1,Milele,-1.200815767,36.76228434
0100EIO,6,1,1,1,Sovereign,-1.169498205,36.70019388
0100ESN,6,1,1,1,Dispensary,-1.190204948,36.73913687
0100GAO,6,1,1,1,Kahigo,-1.203959316,36.77340478
0100GUG,6,1,2,1,Guango,-1.195629,36.780871
0100GVS,6,1,1,1,Green Valley School,-1.124978,36.677156
0100HYD,6,1,1,1,Shady,-1.19387573,36.74975574
0100IKW,6,1,1,1,Kwa Viti,-1.186262101,36.73443764
0100ILL,6,1,1,1,Milele,-1.204420656,36.77496046
0100INT,6,1,1,1,Nish Raaj Estate,-1.257623434,36.81249261
0100ITS,6,1,1,1,Gwaiti,-1.18686676,36.73514843
0100JAK,6,1,1,1,Jakai,-1.219687,36.77222
0100JO.,6,1,1,1,O.J,-1.152970523,36.92023158
0100JOA,6,1,1,1,Kianjogu,-1.183204383,36.73027486
0100JYL,6,1,1,1,Joyland,-1.204896569,36.77661538
0100KCK,6,1,1,1,Kenchic,-1.132722,36.69801
0100KHR,6,1,1,1,Kahawa Railways Roundabout,-1.186098,36.906817
0100KMU,6,1,1,1,Kwa Sukuma,-1.179068416,36.72405213
0100KNA,6,1,1,1,Kona,-1.221391,36.779214
