stop_id,hour,is_weekday,trips_per_hour,peak_hour,stop_name,stop_lat,stop_lon,rain_mm,is_rain,heavy_rain,temperature,avg_travel_time,median_travel_time,p90_travel_time,high_congestion,delay_overcrowding
0001RLW,6,True,11,1,Railways,-1.290884,36.828242,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0001RLW,7,True,3,1,Railways,-1.290884,36.828242,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,1
0100..M,6,True,1,1,K.M.,-1.167726517,36.91900849,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
010044G,6,True,1,1,44 Githurai,-1.195514202,36.9026953,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100A.P,6,True,1,1,A.P.,-1.178289056,36.91195965,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100AAA,6,True,1,1,Sahala,-1.206232309,36.79068089,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100AAE,6,True,1,1,Aga Khan Hospital Entrance,-1.26177,36.82218,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ACP,6,True,1,1,PCEA,-1.184212893,36.90751523,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100AEI,6,True,1,1,Nyari Police,-1.225512028,36.78804159,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100AEL,6,True,1,1,Membley Stage,-1.160296798,36.92236662,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100AKA,6,True,1,1,Chamoka,-1.218550569,36.77443743,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100AL2,6,True,1,1,Lane 26,-1.202838153,36.7692849,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100AMY,7,True,1,1,Kwa Nyama,-1.204494238,36.78601384,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100ANJ,6,True,1,1,Kwa Kiwanja,-1.171676248,36.91650867,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100APC,6,True,1,1,PCEA,-1.188633174,36.73722178,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ARG,6,True,1,1,Arya Girls' Secondary School,-1.26081,36.81997,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ARI,6,True,1,1,Kwa Daktari,-1.185328692,36.73338085,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ASD,6,True,2,1,Ambassadors,-1.19794,36.75537,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ASW,7,True,1,1,Car Wash,-1.204816103,36.78255916,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100AWA,6,True,1,1,Wataalam,-1.149612397,36.94740772,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100BKH,6,True,1,1,Bypass Stage Kiambu,-1.215780973,36.83506072,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100BKK,6,True,1,1,Kabuku,-1.154729247,36.67456269,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100BLD,6,True,1,1,God's Ability,-1.202671891,36.76871896,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100CAR,6,True,1,1,Kwa Machiri,-1.17373082,36.71296388,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100CBR,6,True,1,1,Cooperative Bank Ruaka,-1.20678,36.78464,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100CBR,7,True,1,1,Cooperative Bank Ruaka,-1.20678,36.78464,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100CCD,6,True,1,1,Coca Cola Depot,-1.25983,36.8176,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100CHE,6,True,1,1,Commission Of Higher Education,-1.227579,36.797994,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100CHL,6,True,2,1,Chantilly School,-1.181032,36.762044,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100CTC,6,True,2,1,Christco,-1.19626,36.75305,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100CTR,6,True,1,1,Doctor's Park,-1.261465877,36.82164699,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100DPA,6,True,4,1,Delta Petrol Station Ruaka/Border,-1.208925247,36.78782701,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100EIE,6,True,1,1,Mfereji,-1.203090316,36.77023709,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100EIL,6,True,1,1,Milele,-1.200815767,36.76228434,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100EIO,6,True,1,1,Sovereign,-1.169498205,36.70019388,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ESN,6,True,1,1,Dispensary,-1.190204948,36.73913687,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100GAO,6,True,1,1,Kahigo,-1.203959316,36.77340478,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100GUG,6,True,2,1,Guango,-1.195629,36.780871,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100GVS,6,True,1,1,Green Valley School,-1.124978,36.677156,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100HYD,6,True,1,1,Shady,-1.19387573,36.74975574,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100IKW,6,True,1,1,Kwa Viti,-1.186262101,36.73443764,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ILL,6,True,1,1,Milele,-1.204420656,36.77496046,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100INT,6,True,1,1,Nish Raaj Estate,-1.257623434,36.81249261,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ITS,6,True,1,1,Gwaiti,-1.18686676,36.73514843,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100JAK,6,True,1,1,Jakai,-1.219687,36.77222,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100JO.,6,True,1,1,O.J,-1.152970523,36.92023158,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100JOA,6,True,1,1,Kianjogu,-1.183204383,36.73027486,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100JYL,6,True,1,1,Joyland,-1.204896569,36.77661538,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KCK,6,True,1,1,Kenchic,-1.132722,36.69801,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KHR,6,True,1,1,Kahawa Railways Roundabout,-1.186098,36.906817,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KMU,6,True,1,1,Kwa Sukuma,-1.179068416,36.72405213,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KNA,6,True,1,1,Kona,-1.221391,36.779214,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KNE,6,True,1,1,Kwa Njenga,-1.220363742,36.77845538,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KSS,6,True,2,1,Kwa Shule/Seth Home Of Love Children's Home/Muchatha Dispensary,-1.189608,36.773253,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KTC,6,True,2,1,Quickmart,-1.206720471,36.78343892,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100KWH,6,True,1,1,Kwa Chief,-1.216485232,36.82175428,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100LDL,6,True,1,1,Redhill,-1.169991821,36.7014733,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100LHH,7,True,1,1,Jamhuri School,-1.27250433,36.82257503,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100LIK,6,True,2,1,Likoni,-1.179095,36.760938,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100LMC,6,True,1,1,Limuru Catering,-1.124471,36.679689,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100LPS,6,True,1,1,Limuru Post Office,-1.118464,36.643126,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100LSM,6,True,2,1,Life Sanctuary/Muchatha,-1.191495,36.775223,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MCO,6,True,1,1,Stima Sacco,-1.272774106,36.8208611,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MCY,6,True,1,1,Mothers Mercys/GD,-1.179957,36.725401,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MFB,6,True,2,1,Mifereji/God's Ability,-1.20213,36.76693,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MIS,6,True,2,1,Mary Immaculate Secondary School/Muchatha,-1.190679,36.774297,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MOM,6,True,2,1,Mombasa,-1.17786,36.760345,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MOU,6,True,1,1,Mugumo,-1.209636211,36.79986477,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MRB,6,True,1,1,Maramba Tea Factory,-1.134476,36.703498,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100MRC,6,True,4,1,Movers/Rosslyn Centre,-1.210947633,36.79020882,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,1
0100MRC,7,True,1,1,Movers/Rosslyn Centre,-1.210947633,36.79020882,0.0571428571428571,0.5,0.0,20.92142857142857,3847.35,3883.0,5704.700000000003,0.0,0
0100NAM,6,True,2,1,National Oil/Muchatha,-1.193428,36.777892,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100NCE,6,True,1,1,Container,-1.20452258,36.77553982,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100NDT,6,True,2,1,Ndenderu Junction,-1.19233,36.7437,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100NJT,6,True,2,1,Kwa Njoki/Thimbigwa Ack,-1.183852,36.763684,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100NKD,6,True,1,1,Ndenderu Kwa Maduka,-1.19449,36.75061,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100NMT,6,True,1,1,New Muthaiga,-1.228621,36.798616,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100NRP,6,True,1,1,Round About Eastern Bypass,-1.155235,36.926119,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100NSO,6,True,2,1,Movers,-1.210058659,36.7891708,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
0100ONO,6,True,1,1,Ngomongo,-1.202822059,36.89014524,0.0857142857142857,0.6428571428571429,0.0,18.90714285714285,4279.27,4217.5,6212.200000000001,0.0,0
